satellite_id,plane,slot,samples,sunlit_samples,sunlit_ratio_pct
0,0,0,1441,954,66.20402498265094
1,0,1,1441,945,65.5794587092297
2,0,2,1441,933,64.74670367800138
3,0,3,1441,926,64.26092990978488
4,0,4,1441,919,63.77515614156835
5,0,5,1441,910,63.15058986814712
6,0,6,1441,901,62.526023594725885
7,0,7,1441,895,62.10964607911173
8,0,8,1441,894,62.04024982650937
9,0,9,1441,894,62.04024982650937
10,0,10,1441,895,62.10964607911173
11,0,11,1441,897,62.248438584316446
12,0,12,1441,906,62.87300485773768
13,0,13,1441,913,63.3587786259542
14,0,14,1441,923,64.0527411519778
15,0,15,1441,932,64.67730742539902
16,0,16,1441,941,65.30187369882026
17,0,17,1441,950,65.9264399722415
18,0,18,1441,958,66.48160999306037
19,0,19,1441,963,66.82859125607217
20,0,20,1441,963,66.82859125607217
21,0,21,1441,962,66.75919500346981
22,1,0,1441,946,65.64885496183206
23,1,1,1441,937,65.02428868841082
24,1,2,1441,929,64.46911866759196
25,1,3,1441,920,63.84455239417071
26,1,4,1441,911,63.21998612074948
27,1,5,1441,903,62.664816099930604
28,1,6,1441,896,62.179042331714086
29,1,7,1441,891,61.83206106870229
30,1,8,1441,892,61.90145732130465
31,1,9,1441,890,61.76266481609993
32,1,10,1441,889,61.69326856349757
33,1,11,1441,895,62.10964607911173
34,1,12,1441,904,62.734212352532964
35,1,13,1441,912,63.28938237335184
36,1,14,1441,921,63.91394864677307
37,1,15,1441,930,64.53851492019432
38,1,16,1441,939,65.16308119361554
39,1,17,1441,949,65.85704371963914
40,1,18,1441,959,66.55100624566273
41,1,19,1441,960,66.6204024982651
42,1,20,1441,958,66.48160999306037
43,1,21,1441,955,66.2734212352533
44,2,0,1441,939,65.16308119361554
45,2,1,1441,931,64.60791117279666
46,2,2,1441,924,64.12213740458016
47,2,3,1441,915,63.49757113115892
48,2,4,1441,906,62.87300485773768
49,2,5,1441,898,62.317834836918806
50,2,6,1441,889,61.69326856349757
51,2,7,1441,886,61.48507980569049
52,2,8,1441,887,61.55447605829285
53,2,9,1441,886,61.48507980569049
54,2,10,1441,883,61.27689104788342
55,2,11,1441,893,61.97085357390701
56,2,12,1441,903,62.664816099930604
57,2,13,1441,912,63.28938237335184
58,2,14,1441,921,63.91394864677307
59,2,15,1441,930,64.53851492019432
60,2,16,1441,938,65.09368494101318
61,2,17,1441,947,65.71825121443442
62,2,18,1441,956,66.34281748785565
63,2,19,1441,955,66.2734212352533
64,2,20,1441,956,66.34281748785565
65,2,21,1441,948,65.78764746703678
66,3,0,1441,936,64.95489243580846
67,3,1,1441,927,64.33032616238724
68,3,2,1441,919,63.77515614156835
69,3,3,1441,911,63.21998612074948
70,3,4,1441,900,62.456627342123525
71,3,5,1441,890,61.76266481609993
72,3,6,1441,882,61.20749479528106
73,3,7,1441,881,61.1380985426787
74,3,8,1441,881,61.1380985426787
75,3,9,1441,881,61.1380985426787
76,3,10,1441,884,61.34628730048578
77,3,11,1441,893,61.97085357390701
78,3,12,1441,904,62.734212352532964
79,3,13,1441,912,63.28938237335184
80,3,14,1441,920,63.84455239417071
81,3,15,1441,928,64.3997224149896
82,3,16,1441,936,64.95489243580846
83,3,17,1441,944,65.51006245662734
84,3,18,1441,951,65.99583622484386
85,3,19,1441,951,65.99583622484386
86,3,20,1441,951,65.99583622484386
87,3,21,1441,943,65.44066620402498
88,4,0,1441,929,64.46911866759196
89,4,1,1441,922,63.98334489937543
90,4,2,1441,913,63.3587786259542
91,4,3,1441,904,62.734212352532964
92,4,4,1441,894,62.04024982650937
93,4,5,1441,886,61.48507980569049
94,4,6,1441,878,60.92990978487162
95,4,7,1441,878,60.92990978487162
96,4,8,1441,879,60.99930603747398
97,4,9,1441,878,60.92990978487162
98,4,10,1441,883,61.27689104788342
99,4,11,1441,892,61.90145732130465
100,4,12,1441,901,62.526023594725885
101,4,13,1441,911,63.21998612074948
102,4,14,1441,919,63.77515614156835
103,4,15,1441,927,64.33032616238724
104,4,16,1441,935,64.8854961832061
105,4,17,1441,944,65.51006245662734
106,4,18,1441,949,65.85704371963914
107,4,19,1441,948,65.78764746703678
108,4,20,1441,947,65.71825121443442
109,4,21,1441,938,65.09368494101318
110,5,0,1441,924,64.12213740458016
111,5,1,1441,916,63.56696738376127
112,5,2,1441,908,63.0117973629424
113,5,3,1441,898,62.317834836918806
114,5,4,1441,890,61.76266481609993
115,5,5,1441,882,61.20749479528106
116,5,6,1441,877,60.86051353226926
117,5,7,1441,876,60.7911172796669
118,5,8,1441,876,60.7911172796669
119,5,9,1441,876,60.7911172796669
120,5,10,1441,882,61.20749479528106
121,5,11,1441,892,61.90145732130465
122,5,12,1441,900,62.456627342123525
123,5,13,1441,908,63.0117973629424
124,5,14,1441,918,63.70575988896599
125,5,15,1441,926,64.26092990978488
126,5,16,1441,935,64.8854961832061
127,5,17,1441,944,65.51006245662734
128,5,18,1441,947,65.71825121443442
129,5,19,1441,946,65.64885496183206
130,5,20,1441,942,65.37126995142262
131,5,21,1441,934,64.81609993060374
132,6,0,1441,920,63.84455239417071
133,6,1,1441,913,63.3587786259542
134,6,2,1441,905,62.803608605135324
135,6,3,1441,896,62.179042331714086
136,6,4,1441,886,61.48507980569049
137,6,5,1441,877,60.86051353226926
138,6,6,1441,873,60.58292852185982
139,6,7,1441,873,60.58292852185982
140,6,8,1441,873,60.58292852185982
141,6,9,1441,873,60.58292852185982
142,6,10,1441,882,61.20749479528106
143,6,11,1441,892,61.90145732130465
144,6,12,1441,900,62.456627342123525
145,6,13,1441,910,63.15058986814712
146,6,14,1441,919,63.77515614156835
147,6,15,1441,926,64.26092990978488
148,6,16,1441,934,64.81609993060374
149,6,17,1441,943,65.44066620402498
150,6,18,1441,944,65.51006245662734
151,6,19,1441,944,65.51006245662734
152,6,20,1441,938,65.09368494101318
153,6,21,1441,929,64.46911866759196
154,7,0,1441,918,63.70575988896599
155,7,1,1441,910,63.15058986814712
156,7,2,1441,901,62.526023594725885
157,7,3,1441,892,61.90145732130465
158,7,4,1441,883,61.27689104788342
159,7,5,1441,874,60.65232477446218
160,7,6,1441,871,60.4441360166551
161,7,7,1441,870,60.37473976405274
162,7,8,1441,871,60.4441360166551
163,7,9,1441,874,60.65232477446218
164,7,10,1441,884,61.34628730048578
165,7,11,1441,893,61.97085357390701
166,7,12,1441,901,62.526023594725885
167,7,13,1441,910,63.15058986814712
168,7,14,1441,919,63.77515614156835
169,7,15,1441,927,64.33032616238724
170,7,16,1441,935,64.8854961832061
171,7,17,1441,941,65.30187369882026
172,7,18,1441,942,65.37126995142262
173,7,19,1441,942,65.37126995142262
174,7,20,1441,935,64.8854961832061
175,7,21,1441,927,64.33032616238724
176,8,0,1441,915,63.49757113115892
177,8,1,1441,905,62.803608605135324
178,8,2,1441,897,62.248438584316446
179,8,3,1441,888,61.62387231089521
180,8,4,1441,879,60.99930603747398
181,8,5,1441,871,60.4441360166551
182,8,6,1441,872,60.51353226925746
183,8,7,1441,872,60.51353226925746
184,8,8,1441,873,60.58292852185982
185,8,9,1441,877,60.86051353226926
186,8,10,1441,885,61.41568355308814
187,8,11,1441,892,61.90145732130465
188,8,12,1441,901,62.526023594725885
189,8,13,1441,909,63.08119361554476
190,8,14,1441,918,63.70575988896599
191,8,15,1441,927,64.33032616238724
192,8,16,1441,936,64.95489243580846
193,8,17,1441,943,65.44066620402498
194,8,18,1441,943,65.44066620402498
195,8,19,1441,943,65.44066620402498
196,8,20,1441,934,64.81609993060374
197,8,21,1441,924,64.12213740458016
198,9,0,1441,912,63.28938237335184
199,9,1,1441,904,62.734212352532964
200,9,2,1441,895,62.10964607911173
201,9,3,1441,886,61.48507980569049
202,9,4,1441,879,60.99930603747398
203,9,5,1441,872,60.51353226925746
204,9,6,1441,873,60.58292852185982
205,9,7,1441,873,60.58292852185982
206,9,8,1441,872,60.51353226925746
207,9,9,1441,877,60.86051353226926
208,9,10,1441,885,61.41568355308814
209,9,11,1441,894,62.04024982650937
210,9,12,1441,902,62.595419847328245
211,9,13,1441,911,63.21998612074948
212,9,14,1441,920,63.84455239417071
213,9,15,1441,929,64.46911866759196
214,9,16,1441,939,65.16308119361554
215,9,17,1441,944,65.51006245662734
216,9,18,1441,944,65.51006245662734
217,9,19,1441,940,65.2324774462179
218,9,20,1441,930,64.53851492019432
219,9,21,1441,921,63.91394864677307
220,10,0,1441,911,63.21998612074948
221,10,1,1441,902,62.595419847328245
222,10,2,1441,894,62.04024982650937
223,10,3,1441,886,61.48507980569049
224,10,4,1441,878,60.92990978487162
225,10,5,1441,873,60.58292852185982
226,10,6,1441,873,60.58292852185982
227,10,7,1441,873,60.58292852185982
228,10,8,1441,873,60.58292852185982
229,10,9,1441,879,60.99930603747398
230,10,10,1441,888,61.62387231089521
231,10,11,1441,895,62.10964607911173
232,10,12,1441,904,62.734212352532964
233,10,13,1441,913,63.3587786259542
234,10,14,1441,923,64.0527411519778
235,10,15,1441,932,64.67730742539902
236,10,16,1441,941,65.30187369882026
237,10,17,1441,944,65.51006245662734
238,10,18,1441,944,65.51006245662734
239,10,19,1441,939,65.16308119361554
240,10,20,1441,930,64.53851492019432
241,10,21,1441,920,63.84455239417071
242,11,0,1441,912,63.28938237335184
243,11,1,1441,905,62.803608605135324
244,11,2,1441,896,62.179042331714086
245,11,3,1441,887,61.55447605829285
246,11,4,1441,878,60.92990978487162
247,11,5,1441,873,60.58292852185982
248,11,6,1441,873,60.58292852185982
249,11,7,1441,873,60.58292852185982
250,11,8,1441,873,60.58292852185982
251,11,9,1441,882,61.20749479528106
252,11,10,1441,891,61.83206106870229
253,11,11,1441,900,62.456627342123525
254,11,12,1441,909,63.08119361554476
255,11,13,1441,919,63.77515614156835
256,11,14,1441,927,64.33032616238724
257,11,15,1441,935,64.8854961832061
258,11,16,1441,943,65.44066620402498
259,11,17,1441,944,65.51006245662734
260,11,18,1441,944,65.51006245662734
261,11,19,1441,938,65.09368494101318
262,11,20,1441,929,64.46911866759196
263,11,21,1441,920,63.84455239417071
264,12,0,1441,914,63.42817487855656
265,12,1,1441,904,62.734212352532964
266,12,2,1441,896,62.179042331714086
267,12,3,1441,887,61.55447605829285
268,12,4,1441,877,60.86051353226926
269,12,5,1441,876,60.7911172796669
270,12,6,1441,876,60.7911172796669
271,12,7,1441,875,60.72172102706454
272,12,8,1441,879,60.99930603747398
273,12,9,1441,888,61.62387231089521
274,12,10,1441,897,62.248438584316446
275,12,11,1441,905,62.803608605135324
276,12,12,1441,913,63.3587786259542
277,12,13,1441,921,63.91394864677307
278,12,14,1441,929,64.46911866759196
279,12,15,1441,939,65.16308119361554
280,12,16,1441,946,65.64885496183206
281,12,17,1441,946,65.64885496183206
282,12,18,1441,947,65.71825121443442
283,12,19,1441,939,65.16308119361554
284,12,20,1441,932,64.67730742539902
285,12,21,1441,923,64.0527411519778
286,13,0,1441,915,63.49757113115892
287,13,1,1441,905,62.803608605135324
288,13,2,1441,896,62.179042331714086
289,13,3,1441,888,61.62387231089521
290,13,4,1441,881,61.1380985426787
291,13,5,1441,881,61.1380985426787
292,13,6,1441,881,61.1380985426787
293,13,7,1441,881,61.1380985426787
294,13,8,1441,884,61.34628730048578
295,13,9,1441,893,61.97085357390701
296,13,10,1441,900,62.456627342123525
297,13,11,1441,909,63.08119361554476
298,13,12,1441,917,63.63636363636363
299,13,13,1441,925,64.19153365718252
300,13,14,1441,934,64.81609993060374
301,13,15,1441,944,65.51006245662734
302,13,16,1441,951,65.99583622484386
303,13,17,1441,951,65.99583622484386
304,13,18,1441,951,65.99583622484386
305,13,19,1441,942,65.37126995142262
306,13,20,1441,933,64.74670367800138
307,13,21,1441,924,64.12213740458016
308,14,0,1441,919,63.77515614156835
309,14,1,1441,911,63.21998612074948
310,14,2,1441,901,62.526023594725885
311,14,3,1441,891,61.83206106870229
312,14,4,1441,885,61.41568355308814
313,14,5,1441,884,61.34628730048578
314,14,6,1441,883,61.27689104788342
315,14,7,1441,885,61.41568355308814
316,14,8,1441,890,61.76266481609993
317,14,9,1441,899,62.387231089521165
318,14,10,1441,908,63.0117973629424
319,14,11,1441,917,63.63636363636363
320,14,12,1441,925,64.19153365718252
321,14,13,1441,933,64.74670367800138
