constellation,safe_battery_pct,eclipse_duration_stat,eclipse_duration_s,p_cut_w,usable_energy_j,idle_energy_j
Starlink 1584,90,p75,2100,6.29,21600.00,8400.00
Kuiper 784,90,p75,2130,6.14,21600.00,8520.00
OneWeb 648,90,p75,2010,6.75,21600.00,8040.00
Iridium 66,90,p75,2010,6.75,21600.00,8040.00
Starlink 1584,80,p75,2100,16.57,43200.00,8400.00
Kuiper 784,80,p75,2130,16.28,43200.00,8520.00
OneWeb 648,80,p75,2010,17.49,43200.00,8040.00
Iridium 66,80,p75,2010,17.49,43200.00,8040.00
Starlink 1584,70,p75,2100,26.86,64800.00,8400.00
Kuiper 784,70,p75,2130,26.42,64800.00,8520.00
OneWeb 648,70,p75,2010,28.24,64800.00,8040.00
Iridium 66,70,p75,2010,28.24,64800.00,8040.00
Starlink 1584,60,p75,2100,37.14,86400.00,8400.00
Kuiper 784,60,p75,2130,36.56,86400.00,8520.00
OneWeb 648,60,p75,2010,38.99,86400.00,8040.00
Iridium 66,60,p75,2010,38.99,86400.00,8040.00
Starlink 1584,50,p75,2100,47.43,108000.00,8400.00
Kuiper 784,50,p75,2130,46.70,108000.00,8520.00
OneWeb 648,50,p75,2010,49.73,108000.00,8040.00
Iridium 66,50,p75,2010,49.73,108000.00,8040.00
Starlink 1584,40,p75,2100,57.71,129600.00,8400.00
Kuiper 784,40,p75,2130,56.85,129600.00,8520.00
OneWeb 648,40,p75,2010,60.48,129600.00,8040.00
Iridium 66,40,p75,2010,60.48,129600.00,8040.00
Starlink 1584,30,p75,2100,68.00,151200.00,8400.00
Kuiper 784,30,p75,2130,66.99,151200.00,8520.00
OneWeb 648,30,p75,2010,71.22,151200.00,8040.00
Iridium 66,30,p75,2010,71.22,151200.00,8040.00
Starlink 1584,20,p75,2100,78.29,172800.00,8400.00
Kuiper 784,20,p75,2130,77.13,172800.00,8520.00
OneWeb 648,20,p75,2010,81.97,172800.00,8040.00
Iridium 66,20,p75,2010,81.97,172800.00,8040.00
Starlink 1584,10,p75,2100,88.57,194400.00,8400.00
Kuiper 784,10,p75,2130,87.27,194400.00,8520.00
OneWeb 648,10,p75,2010,92.72,194400.00,8040.00
Iridium 66,10,p75,2010,92.72,194400.00,8040.00
Starlink 1584,0,p75,2100,98.86,216000.00,8400.00
Kuiper 784,0,p75,2130,97.41,216000.00,8520.00
OneWeb 648,0,p75,2010,103.46,216000.00,8040.00
Iridium 66,0,p75,2010,103.46,216000.00,8040.00
