data_size_bits,slot_interval_s,unique_breached_satellites,unique_breached_ratio,unique_eclipse_breached_satellites,unique_eclipse_breached_ratio,tasks_generated,tasks_completed,tasks_failed,tasks_pending,run_dir,constellation,cpu_power_w
40000000000.0,30,0,0.0,0,0.0,195171,13133,124531,57507,experiments/breach_ratio/iridium_66_breach_ratio_cpu_sweep_250mhz/runs/iridium_66/cpu_20w/data_4e10_bits/slot_30s,Iridium 66,20.0
80000000000.0,30,0,0.0,0,0.0,195171,10957,124531,59683,experiments/breach_ratio/iridium_66_breach_ratio_cpu_sweep_250mhz/runs/iridium_66/cpu_20w/data_8e10_bits/slot_30s,Iridium 66,20.0
120000000000.0,30,0,0.0,0,0.0,195171,10149,124531,60491,experiments/breach_ratio/iridium_66_breach_ratio_cpu_sweep_250mhz/runs/iridium_66/cpu_20w/data_1p2e11_bits/slot_30s,Iridium 66,20.0
160000000000.0,30,0,0.0,0,0.0,195171,9468,124531,61172,experiments/breach_ratio/iridium_66_breach_ratio_cpu_sweep_250mhz/runs/iridium_66/cpu_20w/data_1p6e11_bits/slot_30s,Iridium 66,20.0
200000000000.0,30,0,0.0,0,0.0,195171,9076,124531,61564,experiments/breach_ratio/iridium_66_breach_ratio_cpu_sweep_250mhz/runs/iridium_66/cpu_20w/data_2e11_bits/slot_30s,Iridium 66,20.0
240000000000.0,30,0,0.0,0,0.0,195171,8831,124531,61809,experiments/breach_ratio/iridium_66_breach_ratio_cpu_sweep_250mhz/runs/iridium_66/cpu_20w/data_2p4e11_bits/slot_30s,Iridium 66,20.0
40000000000.0,30,10,0.15151515151515152,10,0.15151515151515152,195171,13133,124531,57507,experiments/breach_ratio/iridium_66_breach_ratio_cpu_sweep_250mhz/runs/iridium_66/cpu_30w/data_4e10_bits/slot_30s,Iridium 66,30.0
80000000000.0,30,10,0.15151515151515152,10,0.15151515151515152,195171,10957,124531,59683,experiments/breach_ratio/iridium_66_breach_ratio_cpu_sweep_250mhz/runs/iridium_66/cpu_30w/data_8e10_bits/slot_30s,Iridium 66,30.0
120000000000.0,30,10,0.15151515151515152,10,0.15151515151515152,195171,10149,124531,60491,experiments/breach_ratio/iridium_66_breach_ratio_cpu_sweep_250mhz/runs/iridium_66/cpu_30w/data_1p2e11_bits/slot_30s,Iridium 66,30.0
160000000000.0,30,10,0.15151515151515152,10,0.15151515151515152,195171,9468,124531,61172,experiments/breach_ratio/iridium_66_breach_ratio_cpu_sweep_250mhz/runs/iridium_66/cpu_30w/data_1p6e11_bits/slot_30s,Iridium 66,30.0
200000000000.0,30,10,0.15151515151515152,10,0.15151515151515152,195171,9076,124531,61564,experiments/breach_ratio/iridium_66_breach_ratio_cpu_sweep_250mhz/runs/iridium_66/cpu_30w/data_2e11_bits/slot_30s,Iridium 66,30.0
240000000000.0,30,10,0.15151515151515152,10,0.15151515151515152,195171,8831,124531,61809,experiments/breach_ratio/iridium_66_breach_ratio_cpu_sweep_250mhz/runs/iridium_66/cpu_30w/data_2p4e11_bits/slot_30s,Iridium 66,30.0
40000000000.0,30,12,0.18181818181818182,12,0.18181818181818182,195171,13133,124531,57507,experiments/breach_ratio/iridium_66_breach_ratio_cpu_sweep_250mhz/runs/iridium_66/cpu_40w/data_4e10_bits/slot_30s,Iridium 66,40.0
80000000000.0,30,15,0.22727272727272727,15,0.22727272727272727,195171,10957,124531,59683,experiments/breach_ratio/iridium_66_breach_ratio_cpu_sweep_250mhz/runs/iridium_66/cpu_40w/data_8e10_bits/slot_30s,Iridium 66,40.0
120000000000.0,30,16,0.24242424242424243,16,0.24242424242424243,195171,10149,124531,60491,experiments/breach_ratio/iridium_66_breach_ratio_cpu_sweep_250mhz/runs/iridium_66/cpu_40w/data_1p2e11_bits/slot_30s,Iridium 66,40.0
160000000000.0,30,16,0.24242424242424243,16,0.24242424242424243,195171,9468,124531,61172,experiments/breach_ratio/iridium_66_breach_ratio_cpu_sweep_250mhz/runs/iridium_66/cpu_40w/data_1p6e11_bits/slot_30s,Iridium 66,40.0
200000000000.0,30,16,0.24242424242424243,16,0.24242424242424243,195171,9076,124531,61564,experiments/breach_ratio/iridium_66_breach_ratio_cpu_sweep_250mhz/runs/iridium_66/cpu_40w/data_2e11_bits/slot_30s,Iridium 66,40.0
240000000000.0,30,16,0.24242424242424243,16,0.24242424242424243,195171,8831,124531,61809,experiments/breach_ratio/iridium_66_breach_ratio_cpu_sweep_250mhz/runs/iridium_66/cpu_40w/data_2p4e11_bits/slot_30s,Iridium 66,40.0
40000000000.0,30,32,0.48484848484848486,32,0.48484848484848486,195171,13133,124531,57507,experiments/breach_ratio/iridium_66_breach_ratio_cpu_sweep_250mhz/runs/iridium_66/cpu_50w/data_4e10_bits/slot_30s,Iridium 66,50.0
80000000000.0,30,40,0.6060606060606061,40,0.6060606060606061,195171,10957,124531,59683,experiments/breach_ratio/iridium_66_breach_ratio_cpu_sweep_250mhz/runs/iridium_66/cpu_50w/data_8e10_bits/slot_30s,Iridium 66,50.0
120000000000.0,30,41,0.6212121212121212,41,0.6212121212121212,195171,10149,124531,60491,experiments/breach_ratio/iridium_66_breach_ratio_cpu_sweep_250mhz/runs/iridium_66/cpu_50w/data_1p2e11_bits/slot_30s,Iridium 66,50.0
160000000000.0,30,41,0.6212121212121212,41,0.6212121212121212,195171,9468,124531,61172,experiments/breach_ratio/iridium_66_breach_ratio_cpu_sweep_250mhz/runs/iridium_66/cpu_50w/data_1p6e11_bits/slot_30s,Iridium 66,50.0
200000000000.0,30,41,0.6212121212121212,41,0.6212121212121212,195171,9076,124531,61564,experiments/breach_ratio/iridium_66_breach_ratio_cpu_sweep_250mhz/runs/iridium_66/cpu_50w/data_2e11_bits/slot_30s,Iridium 66,50.0
240000000000.0,30,41,0.6212121212121212,41,0.6212121212121212,195171,8831,124531,61809,experiments/breach_ratio/iridium_66_breach_ratio_cpu_sweep_250mhz/runs/iridium_66/cpu_50w/data_2p4e11_bits/slot_30s,Iridium 66,50.0
