data_size_bits,slot_interval_s,unique_breached_satellites,unique_breached_ratio,unique_eclipse_breached_satellites,unique_eclipse_breached_ratio,tasks_generated,tasks_completed,tasks_failed,tasks_pending,run_dir,constellation,cpu_power_w
40000000000.0,30,0,0.0,0,0.0,187403,41055,77007,69341,experiments/breach_ratio/kuiper_784_breach_ratio_cpu_sweep_250mhz/runs/kuiper_784/cpu_20w/data_4e10_bits/slot_30s,Kuiper 784,20.0
80000000000.0,30,0,0.0,0,0.0,187403,27149,77007,83247,experiments/breach_ratio/kuiper_784_breach_ratio_cpu_sweep_250mhz/runs/kuiper_784/cpu_20w/data_8e10_bits/slot_30s,Kuiper 784,20.0
120000000000.0,30,0,0.0,0,0.0,187403,21182,77007,89214,experiments/breach_ratio/kuiper_784_breach_ratio_cpu_sweep_250mhz/runs/kuiper_784/cpu_20w/data_1p2e11_bits/slot_30s,Kuiper 784,20.0
160000000000.0,30,0,0.0,0,0.0,187403,18224,77007,92172,experiments/breach_ratio/kuiper_784_breach_ratio_cpu_sweep_250mhz/runs/kuiper_784/cpu_20w/data_1p6e11_bits/slot_30s,Kuiper 784,20.0
200000000000.0,30,0,0.0,0,0.0,187403,16309,77007,94087,experiments/breach_ratio/kuiper_784_breach_ratio_cpu_sweep_250mhz/runs/kuiper_784/cpu_20w/data_2e11_bits/slot_30s,Kuiper 784,20.0
240000000000.0,30,0,0.0,0,0.0,187403,15058,77007,95338,experiments/breach_ratio/kuiper_784_breach_ratio_cpu_sweep_250mhz/runs/kuiper_784/cpu_20w/data_2p4e11_bits/slot_30s,Kuiper 784,20.0
40000000000.0,30,275,0.350765306122449,275,0.350765306122449,187403,41055,77007,69341,experiments/breach_ratio/kuiper_784_breach_ratio_cpu_sweep_250mhz/runs/kuiper_784/cpu_30w/data_4e10_bits/slot_30s,Kuiper 784,30.0
80000000000.0,30,309,0.39413265306122447,309,0.39413265306122447,187403,27149,77007,83247,experiments/breach_ratio/kuiper_784_breach_ratio_cpu_sweep_250mhz/runs/kuiper_784/cpu_30w/data_8e10_bits/slot_30s,Kuiper 784,30.0
120000000000.0,30,318,0.40561224489795916,318,0.40561224489795916,187403,21182,77007,89214,experiments/breach_ratio/kuiper_784_breach_ratio_cpu_sweep_250mhz/runs/kuiper_784/cpu_30w/data_1p2e11_bits/slot_30s,Kuiper 784,30.0
160000000000.0,30,331,0.4221938775510204,331,0.4221938775510204,187403,18224,77007,92172,experiments/breach_ratio/kuiper_784_breach_ratio_cpu_sweep_250mhz/runs/kuiper_784/cpu_30w/data_1p6e11_bits/slot_30s,Kuiper 784,30.0
200000000000.0,30,339,0.43239795918367346,339,0.43239795918367346,187403,16309,77007,94087,experiments/breach_ratio/kuiper_784_breach_ratio_cpu_sweep_250mhz/runs/kuiper_784/cpu_30w/data_2e11_bits/slot_30s,Kuiper 784,30.0
240000000000.0,30,344,0.4387755102040816,344,0.4387755102040816,187403,15058,77007,95338,experiments/breach_ratio/kuiper_784_breach_ratio_cpu_sweep_250mhz/runs/kuiper_784/cpu_30w/data_2p4e11_bits/slot_30s,Kuiper 784,30.0
40000000000.0,30,491,0.6262755102040817,491,0.6262755102040817,187403,41055,77007,69341,experiments/breach_ratio/kuiper_784_breach_ratio_cpu_sweep_250mhz/runs/kuiper_784/cpu_40w/data_4e10_bits/slot_30s,Kuiper 784,40.0
80000000000.0,30,529,0.6747448979591837,529,0.6747448979591837,187403,27149,77007,83247,experiments/breach_ratio/kuiper_784_breach_ratio_cpu_sweep_250mhz/runs/kuiper_784/cpu_40w/data_8e10_bits/slot_30s,Kuiper 784,40.0
120000000000.0,30,556,0.7091836734693877,556,0.7091836734693877,187403,21182,77007,89214,experiments/breach_ratio/kuiper_784_breach_ratio_cpu_sweep_250mhz/runs/kuiper_784/cpu_40w/data_1p2e11_bits/slot_30s,Kuiper 784,40.0
160000000000.0,30,586,0.7474489795918368,586,0.7474489795918368,187403,18224,77007,92172,experiments/breach_ratio/kuiper_784_breach_ratio_cpu_sweep_250mhz/runs/kuiper_784/cpu_40w/data_1p6e11_bits/slot_30s,Kuiper 784,40.0
200000000000.0,30,596,0.7602040816326531,596,0.7602040816326531,187403,16309,77007,94087,experiments/breach_ratio/kuiper_784_breach_ratio_cpu_sweep_250mhz/runs/kuiper_784/cpu_40w/data_2e11_bits/slot_30s,Kuiper 784,40.0
240000000000.0,30,597,0.7614795918367347,597,0.7614795918367347,187403,15058,77007,95338,experiments/breach_ratio/kuiper_784_breach_ratio_cpu_sweep_250mhz/runs/kuiper_784/cpu_40w/data_2p4e11_bits/slot_30s,Kuiper 784,40.0
40000000000.0,30,540,0.6887755102040817,540,0.6887755102040817,187403,41055,77007,69341,experiments/breach_ratio/kuiper_784_breach_ratio_cpu_sweep_250mhz/runs/kuiper_784/cpu_50w/data_4e10_bits/slot_30s,Kuiper 784,50.0
80000000000.0,30,579,0.7385204081632653,579,0.7385204081632653,187403,27149,77007,83247,experiments/breach_ratio/kuiper_784_breach_ratio_cpu_sweep_250mhz/runs/kuiper_784/cpu_50w/data_8e10_bits/slot_30s,Kuiper 784,50.0
120000000000.0,30,623,0.7946428571428571,623,0.7946428571428571,187403,21182,77007,89214,experiments/breach_ratio/kuiper_784_breach_ratio_cpu_sweep_250mhz/runs/kuiper_784/cpu_50w/data_1p2e11_bits/slot_30s,Kuiper 784,50.0
160000000000.0,30,638,0.8137755102040817,638,0.8137755102040817,187403,18224,77007,92172,experiments/breach_ratio/kuiper_784_breach_ratio_cpu_sweep_250mhz/runs/kuiper_784/cpu_50w/data_1p6e11_bits/slot_30s,Kuiper 784,50.0
200000000000.0,30,641,0.8176020408163265,641,0.8176020408163265,187403,16309,77007,94087,experiments/breach_ratio/kuiper_784_breach_ratio_cpu_sweep_250mhz/runs/kuiper_784/cpu_50w/data_2e11_bits/slot_30s,Kuiper 784,50.0
240000000000.0,30,646,0.8239795918367347,646,0.8239795918367347,187403,15058,77007,95338,experiments/breach_ratio/kuiper_784_breach_ratio_cpu_sweep_250mhz/runs/kuiper_784/cpu_50w/data_2p4e11_bits/slot_30s,Kuiper 784,50.0
