data_size_bits,slot_interval_s,unique_breached_satellites,unique_breached_ratio,unique_eclipse_breached_satellites,unique_eclipse_breached_ratio,tasks_generated,tasks_completed,tasks_failed,tasks_pending,run_dir,constellation,cpu_power_w
40000000000.0,30,0,0.0,0,0.0,212649,63934,0,148715,experiments/breach_ratio/oneweb_648_breach_ratio_cpu_sweep_250mhz/runs/oneweb_648/cpu_20w/data_4e10_bits/slot_30s,OneWeb 648,20.0
80000000000.0,30,0,0.0,0,0.0,212649,49027,0,163622,experiments/breach_ratio/oneweb_648_breach_ratio_cpu_sweep_250mhz/runs/oneweb_648/cpu_20w/data_8e10_bits/slot_30s,OneWeb 648,20.0
120000000000.0,30,0,0.0,0,0.0,212649,41154,0,171495,experiments/breach_ratio/oneweb_648_breach_ratio_cpu_sweep_250mhz/runs/oneweb_648/cpu_20w/data_1p2e11_bits/slot_30s,OneWeb 648,20.0
160000000000.0,30,0,0.0,0,0.0,212649,37028,0,175621,experiments/breach_ratio/oneweb_648_breach_ratio_cpu_sweep_250mhz/runs/oneweb_648/cpu_20w/data_1p6e11_bits/slot_30s,OneWeb 648,20.0
200000000000.0,30,0,0.0,0,0.0,212649,34625,0,178024,experiments/breach_ratio/oneweb_648_breach_ratio_cpu_sweep_250mhz/runs/oneweb_648/cpu_20w/data_2e11_bits/slot_30s,OneWeb 648,20.0
240000000000.0,30,0,0.0,0,0.0,212649,32868,0,179781,experiments/breach_ratio/oneweb_648_breach_ratio_cpu_sweep_250mhz/runs/oneweb_648/cpu_20w/data_2p4e11_bits/slot_30s,OneWeb 648,20.0
40000000000.0,30,82,0.12654320987654322,82,0.12654320987654322,212649,63934,0,148715,experiments/breach_ratio/oneweb_648_breach_ratio_cpu_sweep_250mhz/runs/oneweb_648/cpu_30w/data_4e10_bits/slot_30s,OneWeb 648,30.0
80000000000.0,30,84,0.12962962962962962,84,0.12962962962962962,212649,49027,0,163622,experiments/breach_ratio/oneweb_648_breach_ratio_cpu_sweep_250mhz/runs/oneweb_648/cpu_30w/data_8e10_bits/slot_30s,OneWeb 648,30.0
120000000000.0,30,84,0.12962962962962962,84,0.12962962962962962,212649,41154,0,171495,experiments/breach_ratio/oneweb_648_breach_ratio_cpu_sweep_250mhz/runs/oneweb_648/cpu_30w/data_1p2e11_bits/slot_30s,OneWeb 648,30.0
160000000000.0,30,84,0.12962962962962962,84,0.12962962962962962,212649,37028,0,175621,experiments/breach_ratio/oneweb_648_breach_ratio_cpu_sweep_250mhz/runs/oneweb_648/cpu_30w/data_1p6e11_bits/slot_30s,OneWeb 648,30.0
200000000000.0,30,84,0.12962962962962962,84,0.12962962962962962,212649,34625,0,178024,experiments/breach_ratio/oneweb_648_breach_ratio_cpu_sweep_250mhz/runs/oneweb_648/cpu_30w/data_2e11_bits/slot_30s,OneWeb 648,30.0
240000000000.0,30,84,0.12962962962962962,84,0.12962962962962962,212649,32868,0,179781,experiments/breach_ratio/oneweb_648_breach_ratio_cpu_sweep_250mhz/runs/oneweb_648/cpu_30w/data_2p4e11_bits/slot_30s,OneWeb 648,30.0
40000000000.0,30,180,0.2777777777777778,180,0.2777777777777778,212649,63934,0,148715,experiments/breach_ratio/oneweb_648_breach_ratio_cpu_sweep_250mhz/runs/oneweb_648/cpu_40w/data_4e10_bits/slot_30s,OneWeb 648,40.0
80000000000.0,30,191,0.29475308641975306,191,0.29475308641975306,212649,49027,0,163622,experiments/breach_ratio/oneweb_648_breach_ratio_cpu_sweep_250mhz/runs/oneweb_648/cpu_40w/data_8e10_bits/slot_30s,OneWeb 648,40.0
120000000000.0,30,200,0.30864197530864196,200,0.30864197530864196,212649,41154,0,171495,experiments/breach_ratio/oneweb_648_breach_ratio_cpu_sweep_250mhz/runs/oneweb_648/cpu_40w/data_1p2e11_bits/slot_30s,OneWeb 648,40.0
160000000000.0,30,207,0.3194444444444444,207,0.3194444444444444,212649,37028,0,175621,experiments/breach_ratio/oneweb_648_breach_ratio_cpu_sweep_250mhz/runs/oneweb_648/cpu_40w/data_1p6e11_bits/slot_30s,OneWeb 648,40.0
200000000000.0,30,207,0.3194444444444444,207,0.3194444444444444,212649,34625,0,178024,experiments/breach_ratio/oneweb_648_breach_ratio_cpu_sweep_250mhz/runs/oneweb_648/cpu_40w/data_2e11_bits/slot_30s,OneWeb 648,40.0
240000000000.0,30,208,0.32098765432098764,208,0.32098765432098764,212649,32868,0,179781,experiments/breach_ratio/oneweb_648_breach_ratio_cpu_sweep_250mhz/runs/oneweb_648/cpu_40w/data_2p4e11_bits/slot_30s,OneWeb 648,40.0
40000000000.0,30,213,0.3287037037037037,213,0.3287037037037037,212649,63934,0,148715,experiments/breach_ratio/oneweb_648_breach_ratio_cpu_sweep_250mhz/runs/oneweb_648/cpu_50w/data_4e10_bits/slot_30s,OneWeb 648,50.0
80000000000.0,30,229,0.3533950617283951,229,0.3533950617283951,212649,49027,0,163622,experiments/breach_ratio/oneweb_648_breach_ratio_cpu_sweep_250mhz/runs/oneweb_648/cpu_50w/data_8e10_bits/slot_30s,OneWeb 648,50.0
120000000000.0,30,240,0.37037037037037035,240,0.37037037037037035,212649,41154,0,171495,experiments/breach_ratio/oneweb_648_breach_ratio_cpu_sweep_250mhz/runs/oneweb_648/cpu_50w/data_1p2e11_bits/slot_30s,OneWeb 648,50.0
160000000000.0,30,248,0.38271604938271603,248,0.38271604938271603,212649,37028,0,175621,experiments/breach_ratio/oneweb_648_breach_ratio_cpu_sweep_250mhz/runs/oneweb_648/cpu_50w/data_1p6e11_bits/slot_30s,OneWeb 648,50.0
200000000000.0,30,254,0.39197530864197533,254,0.39197530864197533,212649,34625,0,178024,experiments/breach_ratio/oneweb_648_breach_ratio_cpu_sweep_250mhz/runs/oneweb_648/cpu_50w/data_2e11_bits/slot_30s,OneWeb 648,50.0
240000000000.0,30,259,0.39969135802469136,259,0.39969135802469136,212649,32868,0,179781,experiments/breach_ratio/oneweb_648_breach_ratio_cpu_sweep_250mhz/runs/oneweb_648/cpu_50w/data_2p4e11_bits/slot_30s,OneWeb 648,50.0
