constellation,cpu_power_w,data_size_bits,slot_interval_s,unique_breached_ratio,unique_breached_satellites,unique_eclipse_breached_ratio,unique_eclipse_breached_satellites,tasks_generated,tasks_completed,tasks_failed,tasks_pending,run_dir
Starlink 1584,20.0,40000000000.0,30,0.0,0,0.0,0,186432,69284,32448,84700,experiments/breach_ratio/starlink_breach_ratio_cpu_sweep_250mhz/runs/starlink_1584_250mhz/cpu_20w/data_4e10_bits/slot_30s
Starlink 1584,20.0,80000000000.0,30,0.0,0,0.0,0,186432,49112,32448,104872,experiments/breach_ratio/starlink_breach_ratio_cpu_sweep_250mhz/runs/starlink_1584_250mhz/cpu_20w/data_8e10_bits/slot_30s
Starlink 1584,20.0,120000000000.0,30,0.0,0,0.0,0,186432,40779,32448,113205,experiments/breach_ratio/starlink_breach_ratio_cpu_sweep_250mhz/runs/starlink_1584_250mhz/cpu_20w/data_1p2e11_bits/slot_30s
Starlink 1584,20.0,160000000000.0,30,0.0,0,0.0,0,186432,36623,32448,117361,experiments/breach_ratio/starlink_breach_ratio_cpu_sweep_250mhz/runs/starlink_1584_250mhz/cpu_20w/data_1p6e11_bits/slot_30s
Starlink 1584,20.0,200000000000.0,30,0.0,0,0.0,0,186432,33571,32448,120413,experiments/breach_ratio/starlink_breach_ratio_cpu_sweep_250mhz/runs/starlink_1584_250mhz/cpu_20w/data_2e11_bits/slot_30s
Starlink 1584,20.0,240000000000.0,30,0.0,0,0.0,0,186432,31219,32448,122765,experiments/breach_ratio/starlink_breach_ratio_cpu_sweep_250mhz/runs/starlink_1584_250mhz/cpu_20w/data_2p4e11_bits/slot_30s
Starlink 1584,30.0,40000000000.0,30,0.30492424242424243,483,0.30492424242424243,483,186432,69284,32448,84700,experiments/breach_ratio/starlink_breach_ratio_cpu_sweep_250mhz/runs/starlink_1584_250mhz/cpu_30w/data_4e10_bits/slot_30s
Starlink 1584,30.0,80000000000.0,30,0.33080808080808083,524,0.33080808080808083,524,186432,49112,32448,104872,experiments/breach_ratio/starlink_breach_ratio_cpu_sweep_250mhz/runs/starlink_1584_250mhz/cpu_30w/data_8e10_bits/slot_30s
Starlink 1584,30.0,120000000000.0,30,0.3446969696969697,546,0.3446969696969697,546,186432,40779,32448,113205,experiments/breach_ratio/starlink_breach_ratio_cpu_sweep_250mhz/runs/starlink_1584_250mhz/cpu_30w/data_1p2e11_bits/slot_30s
Starlink 1584,30.0,160000000000.0,30,0.35164141414141414,557,0.35164141414141414,557,186432,36623,32448,117361,experiments/breach_ratio/starlink_breach_ratio_cpu_sweep_250mhz/runs/starlink_1584_250mhz/cpu_30w/data_1p6e11_bits/slot_30s
Starlink 1584,30.0,200000000000.0,30,0.3573232323232323,566,0.3573232323232323,566,186432,33571,32448,120413,experiments/breach_ratio/starlink_breach_ratio_cpu_sweep_250mhz/runs/starlink_1584_250mhz/cpu_30w/data_2e11_bits/slot_30s
Starlink 1584,30.0,240000000000.0,30,0.36174242424242425,573,0.36174242424242425,573,186432,31219,32448,122765,experiments/breach_ratio/starlink_breach_ratio_cpu_sweep_250mhz/runs/starlink_1584_250mhz/cpu_30w/data_2p4e11_bits/slot_30s
Starlink 1584,40.0,40000000000.0,30,0.39015151515151514,618,0.39015151515151514,618,186432,69284,32448,84700,experiments/breach_ratio/starlink_breach_ratio_cpu_sweep_250mhz/runs/starlink_1584_250mhz/cpu_40w/data_4e10_bits/slot_30s
Starlink 1584,40.0,80000000000.0,30,0.43686868686868685,692,0.43686868686868685,692,186432,49112,32448,104872,experiments/breach_ratio/starlink_breach_ratio_cpu_sweep_250mhz/runs/starlink_1584_250mhz/cpu_40w/data_8e10_bits/slot_30s
Starlink 1584,40.0,120000000000.0,30,0.4532828282828283,718,0.4532828282828283,718,186432,40779,32448,113205,experiments/breach_ratio/starlink_breach_ratio_cpu_sweep_250mhz/runs/starlink_1584_250mhz/cpu_40w/data_1p2e11_bits/slot_30s
Starlink 1584,40.0,160000000000.0,30,0.4671717171717172,740,0.4671717171717172,740,186432,36623,32448,117361,experiments/breach_ratio/starlink_breach_ratio_cpu_sweep_250mhz/runs/starlink_1584_250mhz/cpu_40w/data_1p6e11_bits/slot_30s
Starlink 1584,40.0,200000000000.0,30,0.48737373737373735,772,0.48737373737373735,772,186432,33571,32448,120413,experiments/breach_ratio/starlink_breach_ratio_cpu_sweep_250mhz/runs/starlink_1584_250mhz/cpu_40w/data_2e11_bits/slot_30s
