satellite_id,plane,slot,samples,sunlit_samples,sunlit_ratio_pct
0,0,0,1441,1105,76.68285912560722
1,0,1,1441,1099,76.26648160999306
2,0,2,1441,1102,76.47467036780014
3,0,3,1441,1105,76.68285912560722
4,0,4,1441,1093,75.8501040943789
5,0,5,1441,1073,74.46217904233171
6,0,6,1441,1069,74.18459403192227
7,0,7,1441,1086,75.36433032616239
8,0,8,1441,1097,76.12768910478835
9,0,9,1441,1101,76.40527411519778
10,0,10,1441,1104,76.61346287300486
11,1,0,1441,973,67.52255378209577
12,1,1,1441,976,67.73074253990285
13,1,2,1441,975,67.66134628730049
14,1,3,1441,958,66.48160999306037
15,1,4,1441,942,65.37126995142262
16,1,5,1441,941,65.30187369882026
17,1,6,1441,941,65.30187369882026
18,1,7,1441,959,66.55100624566273
19,1,8,1441,976,67.73074253990285
20,1,9,1441,975,67.66134628730049
21,1,10,1441,972,67.45315752949341
22,2,0,1441,949,65.85704371963914
23,2,1,1441,947,65.71825121443442
24,2,2,1441,942,65.37126995142262
25,2,3,1441,927,64.33032616238724
26,2,4,1441,914,63.42817487855656
27,2,5,1441,913,63.3587786259542
28,2,6,1441,924,64.12213740458016
29,2,7,1441,943,65.44066620402498
30,2,8,1441,948,65.78764746703678
31,2,9,1441,948,65.78764746703678
32,2,10,1441,950,65.9264399722415
33,3,0,1441,986,68.42470506592645
34,3,1,1441,984,68.28591256072173
35,3,2,1441,976,67.73074253990285
36,3,3,1441,959,66.55100624566273
37,3,4,1441,950,65.9264399722415
38,3,5,1441,950,65.9264399722415
39,3,6,1441,967,67.10617626648161
40,3,7,1441,986,68.42470506592645
41,3,8,1441,984,68.28591256072173
42,3,9,1441,984,68.28591256072173
43,3,10,1441,985,68.35530881332409
44,4,0,1441,1180,81.88757807078417
45,4,1,1441,1180,81.88757807078417
46,4,2,1441,1179,81.81818181818181
47,4,3,1441,1163,80.70784177654407
48,4,4,1441,1150,79.8056904927134
49,4,5,1441,1157,80.29146426092991
50,4,6,1441,1173,81.40180430256765
51,4,7,1441,1178,81.74878556557945
52,4,8,1441,1180,81.88757807078417
53,4,9,1441,1179,81.81818181818181
54,4,10,1441,1177,81.6793893129771
55,5,0,1441,1441,100.0
56,5,1,1441,1441,100.0
57,5,2,1441,1441,100.0
58,5,3,1441,1441,100.0
59,5,4,1441,1441,100.0
60,5,5,1441,1441,100.0
61,5,6,1441,1441,100.0
62,5,7,1441,1441,100.0
63,5,8,1441,1441,100.0
64,5,9,1441,1441,100.0
65,5,10,1441,1441,100.0
