satellite_id,plane,slot,samples,sunlit_samples,sunlit_ratio_pct
0,0,0,1441,944,65.51006245662734
1,0,1,1441,941,65.30187369882026
2,0,2,1441,934,64.81609993060374
3,0,3,1441,927,64.33032616238724
4,0,4,1441,928,64.3997224149896
5,0,5,1441,921,63.91394864677307
6,0,6,1441,909,63.08119361554476
7,0,7,1441,900,62.456627342123525
8,0,8,1441,893,61.97085357390701
9,0,9,1441,886,61.48507980569049
10,0,10,1441,879,60.99930603747398
11,0,11,1441,873,60.58292852185982
12,0,12,1441,873,60.58292852185982
13,0,13,1441,879,60.99930603747398
14,0,14,1441,883,61.27689104788342
15,0,15,1441,887,61.55447605829285
16,0,16,1441,889,61.69326856349757
17,0,17,1441,896,62.179042331714086
18,0,18,1441,903,62.664816099930604
19,0,19,1441,910,63.15058986814712
20,0,20,1441,917,63.63636363636363
21,0,21,1441,924,64.12213740458016
22,0,22,1441,934,64.81609993060374
23,0,23,1441,945,65.5794587092297
24,0,24,1441,951,65.99583622484386
25,0,25,1441,944,65.51006245662734
26,0,26,1441,944,65.51006245662734
27,0,27,1441,944,65.51006245662734
28,1,0,1441,942,65.37126995142262
29,1,1,1441,935,64.8854961832061
30,1,2,1441,928,64.3997224149896
31,1,3,1441,921,63.91394864677307
32,1,4,1441,914,63.42817487855656
33,1,5,1441,907,62.94240111034004
34,1,6,1441,900,62.456627342123525
35,1,7,1441,893,61.97085357390701
36,1,8,1441,889,61.69326856349757
37,1,9,1441,880,61.06870229007634
38,1,10,1441,873,60.58292852185982
39,1,11,1441,873,60.58292852185982
40,1,12,1441,873,60.58292852185982
41,1,13,1441,875,60.72172102706454
42,1,14,1441,882,61.20749479528106
43,1,15,1441,889,61.69326856349757
44,1,16,1441,896,62.179042331714086
45,1,17,1441,904,62.734212352532964
46,1,18,1441,910,63.15058986814712
47,1,19,1441,916,63.56696738376127
48,1,20,1441,923,64.0527411519778
49,1,21,1441,930,64.53851492019432
50,1,22,1441,937,65.02428868841082
51,1,23,1441,944,65.51006245662734
52,1,24,1441,944,65.51006245662734
53,1,25,1441,944,65.51006245662734
54,1,26,1441,944,65.51006245662734
55,1,27,1441,948,65.78764746703678
56,2,0,1441,933,64.74670367800138
57,2,1,1441,929,64.46911866759196
58,2,2,1441,922,63.98334489937543
59,2,3,1441,915,63.49757113115892
60,2,4,1441,908,63.0117973629424
61,2,5,1441,901,62.526023594725885
62,2,6,1441,894,62.04024982650937
63,2,7,1441,887,61.55447605829285
64,2,8,1441,880,61.06870229007634
65,2,9,1441,871,60.4441360166551
66,2,10,1441,873,60.58292852185982
67,2,11,1441,873,60.58292852185982
68,2,12,1441,874,60.65232477446218
69,2,13,1441,881,61.1380985426787
70,2,14,1441,888,61.62387231089521
71,2,15,1441,895,62.10964607911173
72,2,16,1441,902,62.595419847328245
73,2,17,1441,909,63.08119361554476
74,2,18,1441,916,63.56696738376127
75,2,19,1441,920,63.84455239417071
76,2,20,1441,929,64.46911866759196
77,2,21,1441,936,64.95489243580846
78,2,22,1441,943,65.44066620402498
79,2,23,1441,944,65.51006245662734
80,2,24,1441,944,65.51006245662734
81,2,25,1441,944,65.51006245662734
82,2,26,1441,944,65.51006245662734
83,2,27,1441,942,65.37126995142262
84,3,0,1441,931,64.60791117279666
85,3,1,1441,923,64.0527411519778
86,3,2,1441,916,63.56696738376127
87,3,3,1441,909,63.08119361554476
88,3,4,1441,902,62.595419847328245
89,3,5,1441,895,62.10964607911173
90,3,6,1441,888,61.62387231089521
91,3,7,1441,881,61.1380985426787
92,3,8,1441,880,61.06870229007634
93,3,9,1441,878,60.92990978487162
94,3,10,1441,873,60.58292852185982
95,3,11,1441,873,60.58292852185982
96,3,12,1441,880,61.06870229007634
97,3,13,1441,887,61.55447605829285
98,3,14,1441,894,62.04024982650937
99,3,15,1441,901,62.526023594725885
100,3,16,1441,908,63.0117973629424
101,3,17,1441,918,63.70575988896599
102,3,18,1441,928,64.3997224149896
103,3,19,1441,928,64.3997224149896
