satellite_id,plane,slot,samples,sunlit_samples,sunlit_ratio_pct
0,0,0,1441,965,66.96738376127689
1,0,1,1441,965,66.96738376127689
2,0,2,1441,965,66.96738376127689
3,0,3,1441,965,66.96738376127689
4,0,4,1441,960,66.6204024982651
5,0,5,1441,953,66.13462873004858
6,0,6,1441,947,65.71825121443442
7,0,7,1441,942,65.37126995142262
8,0,8,1441,936,64.95489243580846
9,0,9,1441,931,64.60791117279666
10,0,10,1441,925,64.19153365718252
11,0,11,1441,919,63.77515614156835
12,0,12,1441,913,63.3587786259542
13,0,13,1441,907,62.94240111034004
14,0,14,1441,902,62.595419847328245
15,0,15,1441,898,62.317834836918806
16,0,16,1441,897,62.248438584316446
17,0,17,1441,899,62.387231089521165
18,0,18,1441,905,62.803608605135324
19,0,19,1441,911,63.21998612074948
20,0,20,1441,916,63.56696738376127
21,0,21,1441,922,63.98334489937543
22,0,22,1441,928,64.3997224149896
23,0,23,1441,934,64.81609993060374
24,0,24,1441,939,65.16308119361554
25,0,25,1441,945,65.5794587092297
26,0,26,1441,952,66.06523247744622
27,0,27,1441,956,66.34281748785565
28,0,28,1441,962,66.75919500346981
29,0,29,1441,965,66.96738376127689
30,0,30,1441,965,66.96738376127689
31,0,31,1441,965,66.96738376127689
32,0,32,1441,966,67.03678001387925
33,0,33,1441,965,66.96738376127689
34,1,0,1441,958,66.48160999306037
35,1,1,1441,958,66.48160999306037
36,1,2,1441,957,66.41221374045801
37,1,3,1441,950,65.9264399722415
38,1,4,1441,944,65.51006245662734
39,1,5,1441,940,65.2324774462179
40,1,6,1441,935,64.8854961832061
41,1,7,1441,929,64.46911866759196
42,1,8,1441,922,63.98334489937543
43,1,9,1441,915,63.49757113115892
44,1,10,1441,911,63.21998612074948
45,1,11,1441,906,62.87300485773768
46,1,12,1441,900,62.456627342123525
47,1,13,1441,895,62.10964607911173
48,1,14,1441,888,61.62387231089521
49,1,15,1441,887,61.55447605829285
50,1,16,1441,890,61.76266481609993
51,1,17,1441,897,62.248438584316446
52,1,18,1441,903,62.664816099930604
53,1,19,1441,908,63.0117973629424
54,1,20,1441,912,63.28938237335184
55,1,21,1441,919,63.77515614156835
56,1,22,1441,925,64.19153365718252
57,1,23,1441,931,64.60791117279666
58,1,24,1441,937,65.02428868841082
59,1,25,1441,943,65.44066620402498
60,1,26,1441,946,65.64885496183206
61,1,27,1441,953,66.13462873004858
62,1,28,1441,958,66.48160999306037
63,1,29,1441,958,66.48160999306037
64,1,30,1441,958,66.48160999306037
65,1,31,1441,957,66.41221374045801
66,1,32,1441,956,66.34281748785565
67,1,33,1441,958,66.48160999306037
68,2,0,1441,951,65.99583622484386
69,2,1,1441,951,65.99583622484386
70,2,2,1441,945,65.5794587092297
71,2,3,1441,940,65.2324774462179
72,2,4,1441,934,64.81609993060374
73,2,5,1441,928,64.3997224149896
74,2,6,1441,922,63.98334489937543
75,2,7,1441,917,63.63636363636363
76,2,8,1441,911,63.21998612074948
77,2,9,1441,905,62.803608605135324
78,2,10,1441,900,62.456627342123525
79,2,11,1441,894,62.04024982650937
80,2,12,1441,888,61.62387231089521
