satellite_id,plane,slot,samples,sunlit_samples,sunlit_ratio_pct
0,0,0,1441,1228,85.21859819569744
1,0,1,1441,1222,84.80222068008328
2,0,2,1441,1215,84.31644691186676
3,0,3,1441,1206,83.69188063844553
4,0,4,1441,1200,83.27550312283137
5,0,5,1441,1201,83.34489937543373
6,0,6,1441,1201,83.34489937543373
7,0,7,1441,1202,83.41429562803609
8,0,8,1441,1203,83.48369188063845
9,0,9,1441,1204,83.5530881332408
10,0,10,1441,1205,83.62248438584317
11,0,11,1441,1205,83.62248438584317
12,0,12,1441,1205,83.62248438584317
13,0,13,1441,1206,83.69188063844553
14,0,14,1441,1204,83.5530881332408
15,0,15,1441,1203,83.48369188063845
16,0,16,1441,1200,83.27550312283137
17,0,17,1441,1201,83.34489937543373
18,0,18,1441,1201,83.34489937543373
19,0,19,1441,1201,83.34489937543373
20,0,20,1441,1208,83.83067314365024
21,0,21,1441,1215,84.31644691186676
22,0,22,1441,1222,84.80222068008328
23,0,23,1441,1229,85.2879944482998
24,0,24,1441,1235,85.70437196391394
25,0,25,1441,1240,86.05135322692574
26,0,26,1441,1238,85.91256072172102
27,0,27,1441,1236,85.7737682165163
28,0,28,1441,1235,85.70437196391394
29,0,29,1441,1235,85.70437196391394
30,0,30,1441,1236,85.7737682165163
31,0,31,1441,1236,85.7737682165163
32,0,32,1441,1236,85.7737682165163
33,0,33,1441,1238,85.91256072172102
34,0,34,1441,1238,85.91256072172102
35,0,35,1441,1233,85.56557945870922
36,1,0,1441,1056,73.2824427480916
37,1,1,1441,1050,72.86606523247745
38,1,2,1441,1044,72.4496877168633
39,1,3,1441,1038,72.03331020124914
40,1,4,1441,1031,71.54753643303262
41,1,5,1441,1029,71.4087439278279
42,1,6,1441,1028,71.33934767522554
43,1,7,1441,1028,71.33934767522554
44,1,8,1441,1027,71.26995142262318
45,1,9,1441,1028,71.33934767522554
46,1,10,1441,1027,71.26995142262318
47,1,11,1441,1027,71.26995142262318
48,1,12,1441,1027,71.26995142262318
49,1,13,1441,1028,71.33934767522554
50,1,14,1441,1029,71.4087439278279
51,1,15,1441,1028,71.33934767522554
52,1,16,1441,1030,71.47814018043026
53,1,17,1441,1035,71.82512144344206
54,1,18,1441,1041,72.24149895905622
55,1,19,1441,1046,72.58848022206801
56,1,20,1441,1053,73.07425399028452
57,1,21,1441,1058,73.42123525329632
58,1,22,1441,1064,73.83761276891047
59,1,23,1441,1070,74.25399028452463
60,1,24,1441,1077,74.73976405274115
61,1,25,1441,1083,75.15614156835531
62,1,26,1441,1088,75.50312283136711
63,1,27,1441,1088,75.50312283136711
64,1,28,1441,1088,75.50312283136711
65,1,29,1441,1087,75.43372657876475
66,1,30,1441,1087,75.43372657876475
67,1,31,1441,1086,75.36433032616239
68,1,32,1441,1080,74.94795281054823
69,1,33,1441,1073,74.46217904233171
70,1,34,1441,1068,74.11519777931991
71,1,35,1441,1061,73.6294240111034
72,2,0,1441,997,69.18806384455239
73,2,1,1441,990,68.70229007633588
74,2,2,1441,984,68.28591256072173
75,2,3,1441,978,67.86953504510757
76,2,4,1441,972,67.45315752949341
77,2,5,1441,968,67.17557251908397
78,2,6,1441,968,67.17557251908397
79,2,7,1441,968,67.17557251908397
80,2,8,1441,968,67.17557251908397
81,2,9,1441,968,67.17557251908397
82,2,10,1441,967,67.10617626648161
83,2,11,1441,968,67.17557251908397
84,2,12,1441,967,67.10617626648161
85,2,13,1441,968,67.17557251908397
86,2,14,1441,968,67.17557251908397
87,2,15,1441,969,67.24496877168633
88,2,16,1441,976,67.73074253990285
89,2,17,1441,982,68.14712005551701
90,2,18,1441,989,68.63289382373353
91,2,19,1441,995,69.04927133934767
92,2,20,1441,1001,69.46564885496183
93,2,21,1441,1007,69.88202637057599
94,2,22,1441,1013,70.29840388619014
95,2,23,1441,1019,70.7147814018043
96,2,24,1441,1025,71.13115891741846
97,2,25,1441,1031,71.54753643303262
98,2,26,1441,1035,71.82512144344206
99,2,27,1441,1035,71.82512144344206
100,2,28,1441,1035,71.82512144344206
101,2,29,1441,1035,71.82512144344206
102,2,30,1441,1033,71.68632893823734
103,2,31,1441,1027,71.26995142262318
104,2,32,1441,1021,70.85357390700902
105,2,33,1441,1015,70.43719639139486
106,2,34,1441,1009,70.0208188757807
107,2,35,1441,1002,69.53504510756419
108,3,0,1441,982,68.14712005551701
109,3,1,1441,975,67.66134628730049
110,3,2,1441,970,67.31436502428869
111,3,3,1441,963,66.82859125607217
112,3,4,1441,958,66.48160999306037
113,3,5,1441,953,66.13462873004858
114,3,6,1441,953,66.13462873004858
115,3,7,1441,953,66.13462873004858
116,3,8,1441,953,66.13462873004858
117,3,9,1441,954,66.20402498265094
118,3,10,1441,953,66.13462873004858
119,3,11,1441,954,66.20402498265094
120,3,12,1441,953,66.13462873004858
121,3,13,1441,953,66.13462873004858
122,3,14,1441,953,66.13462873004858
123,3,15,1441,958,66.48160999306037
124,3,16,1441,964,66.89798750867453
125,3,17,1441,970,67.31436502428869
126,3,18,1441,976,67.73074253990285
127,3,19,1441,982,68.14712005551701
128,3,20,1441,988,68.56349757113117
129,3,21,1441,994,68.97987508674531
130,3,22,1441,1001,69.46564885496183
131,3,23,1441,1006,69.81263011797363
132,3,24,1441,1013,70.29840388619014
133,3,25,1441,1019,70.7147814018043
134,3,26,1441,1023,70.99236641221374
135,3,27,1441,1023,70.99236641221374
136,3,28,1441,1023,70.99236641221374
137,3,29,1441,1023,70.99236641221374
138,3,30,1441,1018,70.64538514920194
139,3,31,1441,1013,70.29840388619014
140,3,32,1441,1006,69.81263011797363
141,3,33,1441,1000,69.39625260235947
142,3,34,1441,994,68.97987508674531
143,3,35,1441,988,68.56349757113117
144,4,0,1441,1002,69.53504510756419
145,4,1,1441,995,69.04927133934767
146,4,2,1441,990,68.70229007633588
147,4,3,1441,983,68.21651630811937
148,4,4,1441,977,67.80013879250521
149,4,5,1441,974,67.59195003469813
150,4,6,1441,975,67.66134628730049
151,4,7,1441,973,67.52255378209577
152,4,8,1441,974,67.59195003469813
153,4,9,1441,974,67.59195003469813
154,4,10,1441,974,67.59195003469813
155,4,11,1441,974,67.59195003469813
156,4,12,1441,974,67.59195003469813
